Processes: 489 total, 2 running, 487 sleeping, 1985 threads 
2021/10/07 17:24:15
Load Avg: 1.21, 1.15, 1.16 
CPU usage: 5.38% user, 21.53% sys, 73.7% idle 
SharedLibs: 566M resident, 95M data, 70M linkedit.
MemRegions: 121423 total, 8138M resident, 145M private, 1312M shared.
PhysMem: 15G used (1521M wired), 151M unused.
VM: 186T vsize, 3271M framework vsize, 202398(0) swapins, 220064(0) swapouts.
Networks: packets: 14242524/14G in, 11497138/2452M out.
Disks: 7668186/157G read, 3428114/65G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW  POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
86986  devicecheckd     0.0  00:00.13 2     1   51     2257K 0B    1936K 86986 1    sleeping *0[1]        0.00000 0.00000    501 2556      61     1191      590       3480      2543      1634      6       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
86985  USBAgent         0.0  00:00.07 2     1   29     2625K 0B    2368K 86985 1    sleeping  0[0]        0.00000 0.00000    501 637       70     145       50        676       313       264       0       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
86963  powerdatad       0.0  00:01.30 2     1   41     2417K 0B    2048K 86963 1    sleeping  0[0]        0.00000 0.00000    0   5924      56     5879      2978      11768     6416      6566      62      0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
86959  com.apple.AppSto 0.0  00:00.05 2     1   24     2609K 0B    2304K 86959 1    sleeping *0[28]       0.00000 0.00000    0   1039      71     179       57        872       251       173       5       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
86958  installcoordinat 0.0  00:00.07 2     1   40     2769K 0B    2464K 86958 1    sleeping *0[2]        0.00000 0.00000    274 2452      76     344       255       1678      923       727       25      0      0.0   0      0      _installcoordinationd  N/A    N/A   N/A   N/A   N/A   N/A  
86957  ASPCarryLog      0.0  00:00.15 2     1   30     2321K 0B    1984K 86957 1    sleeping *0[2]        0.00000 0.00000    0   2657      67     616       437       3092      1371      1120      40      0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
86956  appstoreagent    0.0  01:03.69 5     2   274    64M   0B    61M   86956 1    sleeping *0[1549]     0.00000 0.00000    501 233402    2783   216189    72133     902308    321318    397514    1075    100    0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
81518  rapportd         0.0  00:00.14 2     1   39     2705K 0B    2384K 81518 1    sleeping *0[1]        0.00000 0.00000    0   2154      65     1334      624       2602      2487      1616      19      0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
81393  WorldClockWidget 0.0  00:29.04 4     3/1 76     17M   0B    17M   81393 1    sleeping *0[684]      0.00000 0.00000    501 24734     606    7726      2909      414049    15024     6514      71      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
81392  CalendarWidgetEx 0.0  00:14.67 7     6/4 110    18M   0B    17M   81392 1    sleeping *17[5]       0.00000 0.00000    501 22202     248    36304     8809      202386    86404     37027     68      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
